rank,title,domestic_gross,url,opening_weekend,legs,domestic_share,production_budget,infl_adj_domestic_bo,opening_theaters,max_theaters,animated,sequel,remake,genre,domestic_roi
261,Twilight,192769854,https://www.the-numbers.com/movie/Twilight-(2008)#tab=summary,69637740,2.77,47.9,37000000,302587717,3419,3649,0,0,0,romance,4.209996054
262,Toy Story,192523233,https://www.the-numbers.com/movie/Toy-Story#tab=summary,29140617,6.61,52.7,30000000,497654907,2457,2574,1,0,0,adventure,5.4174411
263,22 Jump Street,191719337,https://www.the-numbers.com/movie/22-Jump-Street#tab=summary,57071445,3.36,57.9,50000000,265403389,3306,3426,0,1,0,comedy,2.83438674
264,Cars 2,191450875,https://www.the-numbers.com/movie/Cars-2#tab=summary,66135507,2.89,34.2,200000000,273052885,4115,4115,1,1,0,adventure,-0.042745625
265,Teenage Mutant Ninja Turtles,191204754,https://www.the-numbers.com/movie/Teenage-Mutant-Ninja-Turtles-(2014)#tab=summary,65575105,2.92,39.4,125000000,264691029,3845,3980,0,0,0,action,0.529638032
266,Sonic the Hedgehog 2,190872904,https://www.the-numbers.com/movie/Sonic-the-Hedgehog-2-(2022)#tab=summary,72105176,2.65,47.3,90000000,205011642,4234,4258,0,1,0,adventure,1.120810044
267,Men in Black 2,190418803,https://www.the-numbers.com/movie/Men-in-Black-2#tab=summary,52148751,3.65,43.1,140000000,370677559,3557,3641,0,1,0,sci-fi,0.360134307
268,Spider-Man: Into The Spider-Verse 3D,190173195,https://www.the-numbers.com/movie/Spider-Man-Into-The-Spider-Verse-3D-(2018)#tab=summary,35363376,5.38,50.8,90000000,235717840,3813,3813,0,0,0,superhero,1.1130355
269,Dunkirk,190068280,https://www.the-numbers.com/movie/Dunkirk-(2017)#tab=summary,50513488,3.76,37.3,150000000,239618455,3720,4014,0,0,0,war,0.267121867
270,Wreck-It Ralph,189412677,https://www.the-numbers.com/movie/Wreck-It-Ralph#tab=summary,49038712,3.86,38.1,165000000,268803628,3752,3752,1,0,0,adventure,0.147955618
271,Grease,188620000,https://www.the-numbers.com/movie/Grease#tab=summary,8941717,14.85,47.8,6000000,825276461,862,2931,0,0,0,romance,30.43666667
272,A Quiet Place,188024361,https://www.the-numbers.com/movie/Quiet-Place-A-(2018)#tab=summary,50203562,3.75,56.1,17000000,233430901,3508,3808,0,0,0,horror,10.06025653
273,Gladiator,187683805,https://www.the-numbers.com/movie/Gladiator-(2000)#tab=summary,34819017,5.39,41.6,103000000,393715113,2938,3188,0,0,0,action,0.822172864
274,The Croods,187168425,https://www.the-numbers.com/movie/Croods-The#tab=summary,43639736,4.29,32.7,135000000,260378209,4046,4065,1,0,0,adventure,0.386432778
275,John Wick: Chapter 4,187131806,https://www.the-numbers.com/movie/John-Wick-Chapter-4-(2023)#tab=summary,73817950,2.54,42.5,100000000,193460751,3855,3855,0,1,0,action,0.87131806
276,Sherlock Holmes: A Game of Shadows,186848418,https://www.the-numbers.com/movie/Sherlock-Holmes-A-Game-of-Shadows-(2011)#tab=summary,39637079,4.71,34.9,125000000,266220299,3703,3703,0,0,0,mystery,0.494787344
277,The Day After Tomorrow,186740799,https://www.the-numbers.com/movie/Day-After-Tomorrow-The#tab=summary,68743584,2.72,33.6,125000000,340102806,3425,3444,0,0,0,sci-fi,0.493926392
278,Mr. and Mrs. Smith,186336279,https://www.the-numbers.com/movie/Mr-and-Mrs-Smith#tab=summary,50342878,3.7,38.3,110000000,328777425,3424,3451,0,0,0,action,0.693966173
279,Puss in Boots: The Last Wish,186090535,https://www.the-numbers.com/movie/Puss-in-Boots-The-Last-Wish-(2022)#tab=summary,12429515,11.07,38.4,110000000,194624968,4099,4121,1,1,0,adventure,0.691732136
280,Snow White and the Seven Dwarfs,184925486,https://www.the-numbers.com/movie/Snow-White-and-the-Seven-Dwarfs#tab=summary,6017914,14.66,98.8,1488000,,1362,1831,1,0,0,fantasy,123.2778804
281,Pitch Perfect 2,184296230,https://www.the-numbers.com/movie/Pitch-Perfect-2#tab=summary,69216890,2.66,64.2,29000000,247258643,3473,3660,0,1,0,comedy,5.355042414
282,Dances with Wolves,184208842,https://www.the-numbers.com/movie/Dances-with-Wolves#tab=summary,598257,15.48,43.4,19000000,494359512,14,1636,0,0,0,western,8.695202211
283,Batman Forever,184190913,https://www.the-numbers.com/movie/Batman-Forever-(1995)#tab=summary,52784433,3.49,54.7,100000000,478756281,2842,2893,0,1,0,superhero,0.84190913
284,Sound of Freedom,184178046,https://www.the-numbers.com/movie/Sound-of-Freedom-(2023)#tab=summary,19680879,6.75,73.5,14500000,190407096,2952,3411,0,0,0,drama,11.70193421
285,Elf,184129376,https://www.the-numbers.com/movie/Elf-(2003)#tab=summary,31113501,5.92,79.7,32000000,331708095,3337,3381,0,0,0,christmas,4.754043
286,The Fugitive,183968665,https://www.the-numbers.com/movie/Fugitive-The-(1993)#tab=summary,23758855,7.74,52,44000000,502420997,2340,2425,0,0,0,action,3.181106023
287,Black Widow,183651655,https://www.the-numbers.com/movie/Black-Widow-(2021)#tab=summary,80366312,2.29,48.4,200000000,204237971,4160,4275,0,1,0,superhero,-0.081741725
288,The Revenant,183637894,https://www.the-numbers.com/movie/Revenant-The-(2015)#tab=summary,474560,4.61,34.5,135000000,240138976,4,3711,0,0,0,western,0.360280696
289,Ocean’s Eleven,183417150,https://www.the-numbers.com/movie/Oceans-Eleven-(2001)#tab=summary,38107822,4.81,40.7,85000000,364887755,3075,3075,0,0,0,action,1.157848824
290,The Simpsons Movie,183135014,https://www.the-numbers.com/movie/Simpsons-Movie-The#tab=summary,74036787,2.47,34.7,72500000,301054794,3922,3926,1,0,0,comedy,1.526000193
291,What Women Want,182805123,https://www.the-numbers.com/movie/What-Women-Want#tab=summary,33614543,5.44,48.9,65000000,376874681,3012,3092,0,0,0,romance,1.812386508
292,The Perfect Storm,182618434,https://www.the-numbers.com/movie/Perfect-Storm-The#tab=summary,41325042,4.42,55.6,120000000,383193782,3407,3407,0,0,0,action,0.521820283
293,Lincoln,182207973,https://www.the-numbers.com/movie/Lincoln#tab=summary,944308,7.1,66.7,65000000,257758429,11,2293,0,0,0,biopic,1.803199585
294,Liar Liar,181410615,https://www.the-numbers.com/movie/Liar-Liar#tab=summary,31423025,5.77,59.9,45000000,447005232,2845,2909,0,0,0,comedy,3.031347
295,Jurassic Park III,181166115,https://www.the-numbers.com/movie/Jurassic-Park-3#tab=summary,50771645,3.57,49.5,93000000,362012143,3434,3470,0,1,0,sci-fi,0.948022742
296,Thor,181030624,https://www.the-numbers.com/movie/Thor#tab=summary,65723338,2.75,40.3,150000000,258191217,3955,3963,0,0,0,superhero,0.206870827
297,Mission: Impossible,180981886,https://www.the-numbers.com/movie/Mission-Impossible#tab=summary,45436830,3.98,39.5,80000000,463100708,3012,3012,0,0,0,action,1.262273575
298,TAYLOR SWIFT | THE ERAS TOUR,180760722,https://www.the-numbers.com/movie/Taylor-Swift-The-Eras-Tour-(2023)#tab=summary,93224755,1.94,69.1,15000000,186867428,3855,3855,0,0,0,concert,11.0507148
299,Top Gun,180470489,https://www.the-numbers.com/movie/Top-Gun#tab=summary,8193052,19.1,50.5,15000000,539871325,1028,1531,0,0,0,action,11.03136593
300,Ant-Man,180202163,https://www.the-numbers.com/movie/Ant-Man#tab=summary,57225526,3.15,34.7,130000000,241765885,3856,3868,0,0,0,superhero,0.386170485
